curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],desired_x time,desired_x vehicle time,desired_x,desired_y time,desired_y vehicle time,desired_y,Stanley: path param time,Stanley: path param vehicle time,Stanley: path param,Stanley: crosstrack dist time,Stanley: crosstrack dist vehicle time,Stanley: crosstrack dist,crosstrack error time,crosstrack error vehicle time,crosstrack error,Stanley: yaw_error time,Stanley: yaw_error vehicle time,Stanley: yaw_error,steering_angle time,steering_angle vehicle time,steering_angle,Stanley: desired_speed (m/s) time,Stanley: desired_speed (m/s) vehicle time,Stanley: desired_speed (m/s),Stanley: feedforward_accel (m/s^2) time,Stanley: feedforward_accel (m/s^2) vehicle time,Stanley: feedforward_accel (m/s^2),Stanley: output_accel (m/s^2) time,Stanley: output_accel (m/s^2) vehicle time,Stanley: output_accel (m/s^2),Stanley: current yaw (rad) time,Stanley: current yaw (rad) vehicle time,Stanley: current yaw (rad),Stanley: current speed (m/s) time,Stanley: current speed (m/s) vehicle time,Stanley: current speed (m/s)
1746658181.6384547,0.10415506362915039,0.22855175311217615,1746658181.638457,0.10415506362915039,0.0061343637045901955,1746658181.6384594,0.10415506362915039,2.529811333750345,1746658181.6384606,0.10415506362915039,0.3879973137524154,1746658181.6384623,0.10415506362915039,2.322083859351097,1746658181.6384637,0.10415506362915039,0.42616527033612167,1746658181.638465,0.10415506362915039,0.42616527033612167,1746658181.6384664,0.10415506362915039,0.22578336573949917,1746658181.6384676,0.10415506362915039,0.24454727292569262,1746658181.6384685,0.10415506362915039,2.5680177520889202,1746658181.6384702,0.10415506362915039,2.048059494918717,1746658181.6384711,0.10415506362915039,2.4457294563665566,1746658181.6384726,0.10415506362915039,0.0016879114988919142,1746658181.6384735,0.10415506362915039,2.070930300279121
1746658181.6400912,27.76771593093872,-23.708595318004377,1746658181.6400926,27.76771593093872,3.7976837169827915,1746658181.6400948,27.76771593093872,0.24087668481684715,1746658181.6400957,27.76771593093872,0.01932797707182772,1746658181.6400974,27.76771593093872,0.0,1746658181.6400983,27.76771593093872,26.80138631892641,1746658181.6400993,27.76771593093872,26.80138631892641,1746658181.6401002,27.76771593093872,-2.956577419692979,1746658181.6401014,27.76771593093872,-2.2524036834638403,1746658181.6401024,27.76771593093872,0.0,1746658181.6401033,27.76771593093872,2.07,1746658181.6401043,27.76771593093872,-0.29412146864095634,1746658181.6401052,27.76771593093872,3.046050817376819,1746658181.6401062,27.76771593093872,2.9551518358011952
1746658181.6598368,27.787802696228027,-23.708595318004377,1746658181.6598382,27.787802696228027,3.7976837169827915,1746658181.6598406,27.787802696228027,0.24087668481684715,1746658181.6598415,27.787802696228027,0.01932797707182772,1746658181.6598427,27.787802696228027,0.0,1746658181.6598442,27.787802696228027,26.80138631892641,1746658181.6598454,27.787802696228027,26.80138631892641,1746658181.6598463,27.787802696228027,-2.956577419692979,1746658181.6598475,27.787802696228027,-2.2524036834638403,1746658181.659849,27.787802696228027,0.0,1746658181.65985,27.787802696228027,2.07,1746658181.6598513,27.787802696228027,-0.29412146864095634,1746658181.6598523,27.787802696228027,3.046050817376819,1746658181.659853,27.787802696228027,2.9551518358011952
1746658181.6798596,27.80786919593811,-23.708595318004377,1746658181.679862,27.80786919593811,3.7976837169827915,1746658181.6798646,27.80786919593811,0.24087668481684715,1746658181.6798663,27.80786919593811,0.01932797707182772,1746658181.679868,27.80786919593811,0.0,1746658181.6798692,27.80786919593811,26.80138631892641,1746658181.6798706,27.80786919593811,26.80138631892641,1746658181.6798723,27.80786919593811,-2.956577419692979,1746658181.6798732,27.80786919593811,-2.2524036834638403,1746658181.6798747,27.80786919593811,0.0,1746658181.6798759,27.80786919593811,2.07,1746658181.6798773,27.80786919593811,-0.29412146864095634,1746658181.6798787,27.80786919593811,3.046050817376819,1746658181.67988,27.80786919593811,2.9551518358011952
1746658181.6999357,27.82782483100891,-23.708595318004377,1746658181.6999395,27.82782483100891,3.7976837169827915,1746658181.6999438,27.82782483100891,0.24087668481684715,1746658181.6999462,27.82782483100891,0.01932797707182772,1746658181.6999488,27.82782483100891,0.0,1746658181.6999512,27.82782483100891,26.80138631892641,1746658181.6999533,27.82782483100891,26.80138631892641,1746658181.6999557,27.82782483100891,-2.956577419692979,1746658181.6999578,27.82782483100891,-2.2524036834638403,1746658181.6999598,27.82782483100891,0.0,1746658181.6999621,27.82782483100891,2.07,1746658181.699964,27.82782483100891,-0.29412146864095634,1746658181.6999662,27.82782483100891,3.046050817376819,1746658181.699968,27.82782483100891,2.9551518358011952
1746658181.7201645,27.847809076309204,-23.708595318004377,1746658181.7201703,27.847809076309204,3.7976837169827915,1746658181.720177,27.847809076309204,0.24087668481684715,1746658181.720181,27.847809076309204,0.01932797707182772,1746658181.7201853,27.847809076309204,0.0,1746658181.7201889,27.847809076309204,26.80138631892641,1746658181.7201927,27.847809076309204,26.80138631892641,1746658181.7201962,27.847809076309204,-2.956577419692979,1746658181.7201993,27.847809076309204,-2.2524036834638403,1746658181.7202027,27.847809076309204,0.0,1746658181.720206,27.847809076309204,2.07,1746658181.7202094,27.847809076309204,-0.29412146864095634,1746658181.7202127,27.847809076309204,3.046050817376819,1746658181.7202158,27.847809076309204,2.9551518358011952
1746658181.7413936,27.867820501327515,-24.003342996997556,1746658181.741399,27.867820501327515,3.819215522533579,1746658181.7414057,27.867820501327515,0.24087668481684715,1746658181.7414098,27.867820501327515,0.01932797707182772,1746658181.741414,27.867820501327515,0.0,1746658181.7414174,27.867820501327515,27.09618630742843,1746658181.7414212,27.867820501327515,27.09618630742843,1746658181.7414246,27.867820501327515,-2.9554899178618452,1746658181.741428,27.867820501327515,-2.246178519567696,1746658181.741431,27.867820501327515,0.0,1746658181.7414343,27.867820501327515,2.07,1746658181.7414377,27.867820501327515,-0.29597920229664487,1746658181.7414408,27.867820501327515,3.0449633155456852,1746658181.741444,27.867820501327515,2.956841996991427
1746658181.7601516,27.887809991836548,-24.003342996997556,1746658181.760158,27.887809991836548,3.819215522533579,1746658181.7601645,27.887809991836548,0.24087668481684715,1746658181.7601686,27.887809991836548,0.01932797707182772,1746658181.7601728,27.887809991836548,0.0,1746658181.760176,27.887809991836548,27.09618630742843,1746658181.7601795,27.887809991836548,27.09618630742843,1746658181.7601829,27.887809991836548,-2.9554899178618452,1746658181.760186,27.887809991836548,-2.246178519567696,1746658181.7601888,27.887809991836548,0.0,1746658181.760193,27.887809991836548,2.07,1746658181.7601967,27.887809991836548,-0.29547359759314196,1746658181.7601998,27.887809991836548,3.0449633155456852,1746658181.7602031,27.887809991836548,2.956841996991427
1746658181.7804334,27.907850742340088,-24.003342996997556,1746658181.7804434,27.907850742340088,3.819215522533579,1746658181.780454,27.907850742340088,0.24087668481684715,1746658181.7804601,27.907850742340088,0.01932797707182772,1746658181.7804673,27.907850742340088,0.0,1746658181.7804732,27.907850742340088,27.09618630742843,1746658181.7804792,27.907850742340088,27.09618630742843,1746658181.7804847,27.907850742340088,-2.9554899178618452,1746658181.7804902,27.907850742340088,-2.246178519567696,1746658181.7804956,27.907850742340088,0.0,1746658181.7805018,27.907850742340088,2.07,1746658181.7805078,27.907850742340088,-0.29547359759314196,1746658181.780514,27.907850742340088,3.0449633155456852,1746658181.7805202,27.907850742340088,2.956841996991427
1746658181.8004324,27.927823543548584,-24.003342996997556,1746658181.8004415,27.927823543548584,3.819215522533579,1746658181.8004527,27.927823543548584,0.24087668481684715,1746658181.8004596,27.927823543548584,0.01932797707182772,1746658181.8004656,27.927823543548584,0.0,1746658181.8004713,27.927823543548584,27.09618630742843,1746658181.8004775,27.927823543548584,27.09618630742843,1746658181.800483,27.927823543548584,-2.9554899178618452,1746658181.8004887,27.927823543548584,-2.246178519567696,1746658181.8004944,27.927823543548584,0.0,1746658181.8005004,27.927823543548584,2.07,1746658181.8005066,27.927823543548584,-0.29547359759314196,1746658181.8005123,27.927823543548584,3.0449633155456852,1746658181.8005176,27.927823543548584,2.956841996991427
