curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2)
1739898116.0873983,0.10388922691345215,3.0073434635862656e-06,1739898116.0874088,0.10388922691345215,-1.8161258452279623e-06,1739898116.0874212,0.10388922691345215,1.996992656536414e-06,1739898116.0874321,0.10388922691345215,1.9994392734814495,1739898116.0874388,0.10388922691345215,-0.06644438138392011,1739898116.087447,0.10388922691345215,-0.03321842541153768,1739898116.0874536,0.10388922691345215,-0.06644363022223766,1739898116.0874596,0.10388922691345215,-0.12742623075216636,1739898116.0874653,0.10388922691345215,2.434431550477927,1739898116.0874717,0.10388922691345215,0.0,1739898116.0874789,0.10388922691345215,2.4328684559691376
1739898116.099273,0.1240382194519043,3.0073434635862656e-06,1739898116.099282,0.1240382194519043,-1.8161258452279623e-06,1739898116.0992928,0.1240382194519043,1.996992656536414e-06,1739898116.0993032,0.1240382194519043,1.9994392734814495,1739898116.0993085,0.1240382194519043,-0.06644438138392011,1739898116.0993152,0.1240382194519043,-0.03321842541153768,1739898116.0993214,0.1240382194519043,-0.06644363022223766,1739898116.0993264,0.1240382194519043,-0.12742623075216636,1739898116.0993314,0.1240382194519043,2.434431550477927,1739898116.099337,0.1240382194519043,0.0,1739898116.0993426,0.1240382194519043,2.4328684559691376
1739898116.1196685,0.14399933815002441,3.0073434635862656e-06,1739898116.1196787,0.14399933815002441,-1.8161258452279623e-06,1739898116.1196907,0.14399933815002441,1.996992656536414e-06,1739898116.1197028,0.14399933815002441,1.9994392734814495,1739898116.119709,0.14399933815002441,-0.06644438138392011,1739898116.119717,0.14399933815002441,-0.03321842541153768,1739898116.119724,0.14399933815002441,-0.06644363022223766,1739898116.11973,0.14399933815002441,-0.12742623075216636,1739898116.1197352,0.14399933815002441,2.434431550477927,1739898116.119742,0.14399933815002441,0.0,1739898116.119748,0.14399933815002441,2.4328684559691376
1739898116.139438,0.16405415534973145,3.0073434635862656e-06,1739898116.1394475,0.16405415534973145,-1.8161258452279623e-06,1739898116.1394584,0.16405415534973145,1.996992656536414e-06,1739898116.1394694,0.16405415534973145,1.9994392734814495,1739898116.1394746,0.16405415534973145,-0.06644438138392011,1739898116.1394813,0.16405415534973145,-0.03321842541153768,1739898116.1394868,0.16405415534973145,-0.06644363022223766,1739898116.139492,0.16405415534973145,-0.12742623075216636,1739898116.1394973,0.16405415534973145,2.434431550477927,1739898116.139503,0.16405415534973145,0.0,1739898116.1395085,0.16405415534973145,2.4328684559691376
1739898116.1599429,0.1840803623199463,3.0073434635862656e-06,1739898116.1599526,0.1840803623199463,-1.8161258452279623e-06,1739898116.1599631,0.1840803623199463,1.996992656536414e-06,1739898116.1599736,0.1840803623199463,1.9994392734814495,1739898116.1599789,0.1840803623199463,-0.06644438138392011,1739898116.159986,0.1840803623199463,-0.03321842541153768,1739898116.159992,0.1840803623199463,-0.06644363022223766,1739898116.1599972,0.1840803623199463,-0.12742623075216636,1739898116.1600025,0.1840803623199463,2.434431550477927,1739898116.1600084,0.1840803623199463,0.0,1739898116.160014,0.1840803623199463,2.4328684559691376
1739898116.1823435,0.20405793190002441,7.225654011541528e-06,1739898116.1823537,0.20405793190002441,3.13917218651849e-07,1739898116.1823657,0.20405793190002441,1.9927743459884584e-06,1739898116.1823769,0.20405793190002441,2.003533591536078,1739898116.182383,0.20405793190002441,-0.06649431209190339,1739898116.182391,0.20405793190002441,-0.033176617358118596,1739898116.1823976,0.20405793190002441,-0.0664882231526294,1739898116.1824033,0.20405793190002441,-0.12699253712094755,1739898116.182409,0.20405793190002441,2.43438812749053,1739898116.182415,0.20405793190002441,0.0,1739898116.1824207,0.20405793190002441,2.4300561188637566
1739898116.1997437,0.22404003143310547,7.225654011541528e-06,1739898116.1997538,0.22404003143310547,3.13917218651849e-07,1739898116.1997652,0.22404003143310547,1.9927743459884584e-06,1739898116.1997766,0.22404003143310547,2.003533591536078,1739898116.1997824,0.22404003143310547,-0.06649431209190339,1739898116.1997895,0.22404003143310547,-0.033176617358118596,1739898116.199796,0.22404003143310547,-0.0664882231526294,1739898116.199802,0.22404003143310547,-0.12699253712094755,1739898116.1998074,0.22404003143310547,2.43438812749053,1739898116.1998138,0.22404003143310547,0.0,1739898116.1998196,0.22404003143310547,2.4314601574093553
1739898116.2206435,0.24404168128967285,7.225654011541528e-06,1739898116.220654,0.24404168128967285,3.13917218651849e-07,1739898116.220666,0.24404168128967285,1.9927743459884584e-06,1739898116.2206774,0.24404168128967285,2.003533591536078,1739898116.220683,0.24404168128967285,-0.06649431209190339,1739898116.2206905,0.24404168128967285,-0.033176617358118596,1739898116.2206972,0.24404168128967285,-0.0664882231526294,1739898116.2207026,0.24404168128967285,-0.12699253712094755,1739898116.2207086,0.24404168128967285,2.43438812749053,1739898116.220715,0.24404168128967285,0.0,1739898116.220721,0.24404168128967285,2.4314601574093553
1739898116.2399645,0.26406168937683105,7.225654011541528e-06,1739898116.239976,0.26406168937683105,3.13917218651849e-07,1739898116.2399888,0.26406168937683105,1.9927743459884584e-06,1739898116.240001,0.26406168937683105,2.003533591536078,1739898116.2400074,0.26406168937683105,-0.06649431209190339,1739898116.240015,0.26406168937683105,-0.033176617358118596,1739898116.240022,0.26406168937683105,-0.0664882231526294,1739898116.2400281,0.26406168937683105,-0.12699253712094755,1739898116.240034,0.26406168937683105,2.43438812749053,1739898116.240041,0.26406168937683105,0.0,1739898116.2400467,0.26406168937683105,2.4314601574093553
1739898116.2598178,0.28404712677001953,7.225654011541528e-06,1739898116.2598276,0.28404712677001953,3.13917218651849e-07,1739898116.25984,0.28404712677001953,1.9927743459884584e-06,1739898116.2598517,0.28404712677001953,2.003533591536078,1739898116.259858,0.28404712677001953,-0.06649431209190339,1739898116.2598655,0.28404712677001953,-0.033176617358118596,1739898116.259872,0.28404712677001953,-0.0664882231526294,1739898116.2598774,0.28404712677001953,-0.12699253712094755,1739898116.259883,0.28404712677001953,2.43438812749053,1739898116.2598894,0.28404712677001953,0.0,1739898116.2598953,0.28404712677001953,2.4314601574093553
