0.002,-0.005,-0.03
0.402,-0.031,-0.029
0.836,-0.048,-0.028
1.221,-0.055,-0.027
1.649,-0.061,-0.026
2.045,-0.067,-0.025
2.469,-0.073,-0.023
2.82,-0.076,-0.021
3.17,-0.08,-0.019
3.523,-0.087,-0.018
3.881,-0.094,-0.016
4.329,-0.1,-0.014
4.691,-0.105,-0.013
5.041,-0.109,-0.012
5.439,-0.114,-0.012
5.92,-0.12,-0.013
6.309,-0.123,-0.012
6.702,-0.125,-0.012
7.1,-0.128,-0.012
7.505,-0.13,-0.011
7.916,-0.132,-0.011
8.332,-0.134,-0.01
8.754,-0.136,-0.01
9.181,-0.138,-0.01
9.613,-0.14,-0.009
10.05,-0.142,-0.008
10.492,-0.144,-0.008
10.94,-0.145,-0.008
11.387,-0.148,-0.007
11.833,-0.151,-0.006
12.276,-0.153,-0.006
12.719,-0.155,-0.007
13.162,-0.157,-0.006
13.52,-0.159,-0.006
13.925,-0.16,-0.005
14.289,-0.162,-0.005
14.746,-0.163,-0.005
15.206,-0.164,-0.004
15.668,-0.165,-0.003
16.111,-0.165,-0.003
16.484,-0.165,-0.003
16.836,-0.165,-0.002
17.188,-0.165,-0.002
17.543,-0.164,-0.001
18.02,-0.16,-0.001
18.381,-0.152,-0.001
18.742,-0.145,-0.001
19.222,-0.136,0
19.698,-0.133,0
20.056,-0.131,0
20.417,-0.129,0
20.78,-0.128,0.001
21.144,-0.127,0.001
21.631,-0.126,0
21.997,-0.124,0
22.365,-0.124,0
22.857,-0.121,0.001
23.227,-0.12,0.001
23.597,-0.119,0.001
24.091,-0.117,0.001
24.461,-0.115,0.001
24.831,-0.114,0.001
25.324,-0.113,0.001
25.693,-0.112,0.001
26.062,-0.113,0.001
26.553,-0.11,0.001
26.922,-0.106,0.001
27.291,-0.102,0.001
27.784,-0.097,0.001
28.275,-0.092,0.001
28.643,-0.088,0.001
29.009,-0.084,0
29.372,-0.082,0
29.731,-0.079,0.001
30.207,-0.076,0.001
30.68,-0.074,0.001
31.03,-0.072,0.001
31.486,-0.074,0.001
31.934,-0.077,0.001
32.29,-0.08,0.001
32.828,-0.079,0.001
33.281,-0.078,0.001
33.717,-0.075,0.001
34.093,-0.073,0.001
34.454,-0.071,0
34.822,-0.069,0.001
35.323,-0.067,0.001
35.708,-0.065,0
36.101,-0.064,0
36.5,-0.063,0
36.902,-0.062,0
37.44,-0.06,-0.001
37.842,-0.059,-0.002
38.24,-0.058,-0.002
38.76,-0.058,-0.003
39.26,-0.065,-0.004
39.62,-0.07,-0.005
40.084,-0.076,-0.005
40.53,-0.079,-0.006
40.892,-0.084,-0.007
41.269,-0.089,-0.008
