0.002,-0.005,-0.03
0.002,-0.005,-0.03
0.002,-0.005,-0.03
0.001,-0.005,-0.03
0.001,-0.005,-0.03
0.001,-0.005,-0.03
0.001,-0.006,-0.03
0.001,-0.006,-0.03
0.001,-0.006,-0.029
0.001,-0.006,-0.03
0.001,-0.006,-0.03
0.001,-0.006,-0.029
0.001,-0.006,-0.03
0.001,-0.006,-0.029
0.001,-0.006,-0.029
0.001,-0.006,-0.029
0.017,-0.017,-0.029
0.027,-0.017,-0.029
0.046,-0.018,-0.029
0.066,-0.018,-0.029
0.09,-0.019,-0.029
0.118,-0.02,-0.029
0.151,-0.021,-0.029
0.187,-0.022,-0.029
0.226,-0.023,-0.029
0.234,-0.023,-0.029
0.31,-0.026,-0.029
0.337,-0.027,-0.029
0.402,-0.031,-0.029
0.45,-0.033,-0.029
0.5,-0.035,-0.029
0.552,-0.037,-0.029
0.606,-0.04,-0.029
0.662,-0.042,-0.029
0.718,-0.045,-0.028
0.73,-0.045,-0.028
0.836,-0.048,-0.028
0.897,-0.049,-0.028
0.96,-0.05,-0.028
1.023,-0.052,-0.027
1.036,-0.052,-0.027
1.154,-0.054,-0.027
1.221,-0.055,-0.027
1.289,-0.056,-0.027
1.359,-0.057,-0.027
1.373,-0.057,-0.026
1.501,-0.059,-0.026
1.545,-0.06,-0.026
1.649,-0.061,-0.026
1.726,-0.063,-0.026
1.804,-0.064,-0.025
1.883,-0.065,-0.025
1.963,-0.066,-0.025
2.045,-0.067,-0.025
2.128,-0.068,-0.025
2.161,-0.069,-0.025
2.296,-0.07,-0.024
2.382,-0.072,-0.024
2.469,-0.073,-0.023
2.522,-0.073,-0.023
2.645,-0.075,-0.023
2.732,-0.075,-0.022
2.82,-0.076,-0.021
2.907,-0.077,-0.021
2.995,-0.077,-0.02
3.012,-0.077,-0.02
3.17,-0.08,-0.019
3.258,-0.081,-0.019
3.346,-0.083,-0.018
3.434,-0.085,-0.018
3.523,-0.087,-0.018
3.613,-0.088,-0.017
3.702,-0.09,-0.017
3.792,-0.092,-0.016
3.881,-0.094,-0.016
3.899,-0.094,-0.016
4.061,-0.096,-0.015
4.15,-0.098,-0.015
4.222,-0.099,-0.014
4.329,-0.1,-0.014
4.419,-0.101,-0.014
4.509,-0.103,-0.013
4.6,-0.104,-0.013
4.691,-0.105,-0.013
4.782,-0.106,-0.013
4.801,-0.106,-0.013
4.967,-0.108,-0.012
5.041,-0.109,-0.012
5.079,-0.11,-0.012
5.248,-0.112,-0.012
5.343,-0.113,-0.012
5.439,-0.114,-0.012
5.534,-0.116,-0.012
5.63,-0.117,-0.012
5.727,-0.119,-0.012
5.746,-0.119,-0.013
5.92,-0.12,-0.013
5.978,-0.121,-0.012
6.114,-0.122,-0.012
6.211,-0.123,-0.012
6.309,-0.123,-0.012
6.407,-0.124,-0.012
6.505,-0.124,-0.012
6.603,-0.125,-0.012
6.702,-0.125,-0.012
6.742,-0.125,-0.012
6.9,-0.126,-0.012
6.96,-0.127,-0.012
7.1,-0.128,-0.012
7.201,-0.128,-0.012
7.302,-0.129,-0.012
7.404,-0.129,-0.012
7.505,-0.13,-0.011
7.607,-0.13,-0.011
7.71,-0.131,-0.011
7.751,-0.131,-0.011
7.916,-0.132,-0.011
8.02,-0.133,-0.011
8.123,-0.134,-0.01
8.228,-0.134,-0.01
8.332,-0.134,-0.01
8.437,-0.135,-0.01
8.543,-0.135,-0.01
8.648,-0.135,-0.01
8.754,-0.136,-0.01
8.775,-0.136,-0.01
8.967,-0.137,-0.01
9.074,-0.137,-0.01
9.181,-0.138,-0.01
9.289,-0.138,-0.01
9.396,-0.138,-0.01
9.504,-0.139,-0.009
9.613,-0.14,-0.009
9.721,-0.14,-0.009
9.83,-0.141,-0.009
9.874,-0.142,-0.009
