curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2),current yaw (rad) time,current yaw (rad) vehicle time,current yaw (rad),current speed (m/s) time,current speed (m/s) vehicle time,current speed (m/s)
1739502639.928167,0.3299996852874756,0.030547019841669965,1739502639.9281712,0.3299996852874756,-3.691379956194396e-05,1739502639.9281745,0.3299996852874756,0.0215519580373643,1739502639.9281778,0.3299996852874756,2.518590721821713,1739502639.9281797,0.3299996852874756,-0.073,1739502639.9281816,0.3299996852874756,-0.02931708202390329,1739502639.9281845,0.3299996852874756,-0.06672760156828361,1739502639.928187,0.3299996852874756,-0.08269274153147879,1739502639.9281883,0.3299996852874756,2.370044308683982,1739502639.9281912,0.3299996852874756,0.0,1739502639.9281933,0.3299996852874756,2.1188702917887126,1739502639.9281952,0.3299996852874756,6.280679216940032,1739502639.9281976,0.3299996852874756,0.2511740168952693
1739502639.9489899,0.34999966621398926,0.030547019841669965,1739502639.9489946,0.34999966621398926,-3.691379956194396e-05,1739502639.9490004,0.34999966621398926,0.0215519580373643,1739502639.9490056,0.34999966621398926,2.518590721821713,1739502639.9490082,0.34999966621398926,-0.073,1739502639.9490116,0.34999966621398926,-0.02931708202390329,1739502639.949014,0.34999966621398926,-0.06672760156828361,1739502639.949017,0.34999966621398926,-0.08269274153147879,1739502639.9490197,0.34999966621398926,2.370044308683982,1739502639.9490228,0.34999966621398926,0.0,1739502639.9490256,0.34999966621398926,2.1188702917887126,1739502639.949028,0.34999966621398926,6.280679216940032,1739502639.9490314,0.34999966621398926,0.2511740168952693
1739502639.9683585,0.36999964714050293,0.030547019841669965,1739502639.9683614,0.36999964714050293,-3.691379956194396e-05,1739502639.9683654,0.36999964714050293,0.0215519580373643,1739502639.9683683,0.36999964714050293,2.518590721821713,1739502639.96837,0.36999964714050293,-0.073,1739502639.9683716,0.36999964714050293,-0.02931708202390329,1739502639.9683733,0.36999964714050293,-0.06672760156828361,1739502639.968375,0.36999964714050293,-0.08269274153147879,1739502639.9683766,0.36999964714050293,2.370044308683982,1739502639.9683783,0.36999964714050293,0.0,1739502639.9683797,0.36999964714050293,2.1188702917887126,1739502639.9683812,0.36999964714050293,6.280679216940032,1739502639.9683828,0.36999964714050293,0.2511740168952693
1739502639.9880989,0.3899996280670166,0.030547019841669965,1739502639.9881015,0.3899996280670166,-3.691379956194396e-05,1739502639.9881043,0.3899996280670166,0.0215519580373643,1739502639.9881072,0.3899996280670166,2.518590721821713,1739502639.9881089,0.3899996280670166,-0.073,1739502639.9881105,0.3899996280670166,-0.02931708202390329,1739502639.9881122,0.3899996280670166,-0.06672760156828361,1739502639.9881136,0.3899996280670166,-0.08269274153147879,1739502639.9881148,0.3899996280670166,2.370044308683982,1739502639.9881165,0.3899996280670166,0.0,1739502639.988118,0.3899996280670166,2.1188702917887126,1739502639.9881196,0.3899996280670166,6.280679216940032,1739502639.9881208,0.3899996280670166,0.2511740168952693
1739502640.0080516,0.4099996089935303,0.06365559344657257,1739502640.0080543,0.4099996089935303,-0.00015719778843248378,1739502640.008057,0.4099996089935303,0.021883043773413324,1739502640.00806,0.4099996089935303,2.738058327968718,1739502640.0080612,0.4099996089935303,-0.07506884463600816,1739502640.008063,0.4099996089935303,-0.02800328587449252,1739502640.0080645,0.4099996089935303,-0.06193778715602109,1739502640.008066,0.4099996089935303,-0.06644337125463601,1739502640.0080674,0.4099996089935303,2.3791433886220754,1739502640.0080688,0.4099996089935303,0.0,1739502640.0080705,0.4099996089935303,1.9727211494889747,1739502640.008072,0.4099996089935303,6.278334493555943,1739502640.0080736,0.4099996089935303,0.36075060221977395
1739502640.0279503,0.42999958992004395,0.06365559344657257,1739502640.0279531,0.42999958992004395,-0.00015719778843248378,1739502640.0279562,0.42999958992004395,0.021883043773413324,1739502640.0279593,0.42999958992004395,2.738058327968718,1739502640.0279605,0.42999958992004395,-0.07506884463600816,1739502640.0279624,0.42999958992004395,-0.02800328587449252,1739502640.027964,0.42999958992004395,-0.06193778715602109,1739502640.0279658,0.42999958992004395,-0.06644337125463601,1739502640.027967,0.42999958992004395,2.3791433886220754,1739502640.027969,0.42999958992004395,0.0,1739502640.0279703,0.42999958992004395,2.0183927864023015,1739502640.0279717,0.42999958992004395,6.278334493555943,1739502640.0279734,0.42999958992004395,0.36075060221977395
1739502640.0479147,0.4499995708465576,0.06365559344657257,1739502640.0479176,0.4499995708465576,-0.00015719778843248378,1739502640.0479207,0.4499995708465576,0.021883043773413324,1739502640.0479238,0.4499995708465576,2.738058327968718,1739502640.0479252,0.4499995708465576,-0.07506884463600816,1739502640.0479271,0.4499995708465576,-0.02800328587449252,1739502640.0479286,0.4499995708465576,-0.06193778715602109,1739502640.04793,0.4499995708465576,-0.06644337125463601,1739502640.0479317,0.4499995708465576,2.3791433886220754,1739502640.0479333,0.4499995708465576,0.0,1739502640.047935,0.4499995708465576,2.0183927864023015,1739502640.0479364,0.4499995708465576,6.278334493555943,1739502640.047938,0.4499995708465576,0.36075060221977395
1739502640.06786,0.4699995517730713,0.06365559344657257,1739502640.0678627,0.4699995517730713,-0.00015719778843248378,1739502640.067866,0.4699995517730713,0.021883043773413324,1739502640.0678692,0.4699995517730713,2.738058327968718,1739502640.0678706,0.4699995517730713,-0.07506884463600816,1739502640.0678728,0.4699995517730713,-0.02800328587449252,1739502640.0678742,0.4699995517730713,-0.06193778715602109,1739502640.0678759,0.4699995517730713,-0.06644337125463601,1739502640.0678773,0.4699995517730713,2.3791433886220754,1739502640.0678794,0.4699995517730713,0.0,1739502640.0678806,0.4699995517730713,2.0183927864023015,1739502640.0678823,0.4699995517730713,6.278334493555943,1739502640.0678837,0.4699995517730713,0.36075060221977395
1739502640.0878034,0.48999953269958496,0.06365559344657257,1739502640.0878057,0.48999953269958496,-0.00015719778843248378,1739502640.0878086,0.48999953269958496,0.021883043773413324,1739502640.0878115,0.48999953269958496,2.738058327968718,1739502640.087813,0.48999953269958496,-0.07506884463600816,1739502640.0878146,0.48999953269958496,-0.02800328587449252,1739502640.0878162,0.48999953269958496,-0.06193778715602109,1739502640.0878177,0.48999953269958496,-0.06644337125463601,1739502640.0878193,0.48999953269958496,2.3791433886220754,1739502640.0878208,0.48999953269958496,0.0,1739502640.0878222,0.48999953269958496,2.0183927864023015,1739502640.0878236,0.48999953269958496,6.278334493555943,1739502640.087825,0.48999953269958496,0.36075060221977395
1739502640.10837,0.5099995136260986,0.10882169667425678,1739502640.108373,0.5099995136260986,-0.0004272615560179105,1739502640.1083765,0.5099995136260986,0.022334704805690164,1739502640.1083803,0.5099995136260986,2.957740733492,1739502640.1083822,0.5099995136260986,-0.077,1739502640.1083844,0.5099995136260986,-0.02687135235706951,1739502640.108386,0.5099995136260986,-0.056006179090768306,1739502640.108388,0.5099995136260986,-0.052951494053988635,1739502640.1083894,0.5099995136260986,2.3904599344023905,1739502640.1083915,0.5099995136260986,0.0,1739502640.108393,0.5099995136260986,1.8754046053508828,1739502640.1083949,0.5099995136260986,6.275966870030994,1739502640.1083968,0.5099995136260986,0.47037149317593346
