curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2),current yaw (rad) time,current yaw (rad) vehicle time,current yaw (rad),current speed (m/s) time,current speed (m/s) vehicle time,current speed (m/s),Past the end of trajectory time,Past the end of trajectory vehicle time
1740481168.3549738,0.22999978065490723,0.004016390192037811,1740481168.3549755,0.22999978065490723,0.0,1740481168.3549778,0.22999978065490723,0.0,1740481168.3549798,0.22999978065490723,2.0995331641168695,1740481168.354981,0.22999978065490723,0.0,1740481168.3549821,0.22999978065490723,0.0,1740481168.3549833,0.22999978065490723,0.0,1740481168.3549845,0.22999978065490723,0.0,1740481168.3549855,0.22999978065490723,0.10899563053199542,1740481168.3549864,0.22999978065490723,0.0,1740481168.3549876,0.22999978065490723,0.061237243569579464,1740481168.3549883,0.22999978065490723,0.0,1740481168.3549893,0.22999978065490723,0.04775838696241595,1740481176.0186145,7.839992523193359
1740481168.3719118,0.2499997615814209,0.004016390192037811,1740481168.3719134,0.2499997615814209,0.0,1740481168.3719158,0.2499997615814209,0.0,1740481168.3719177,0.2499997615814209,2.0995331641168695,1740481168.3719192,0.2499997615814209,0.0,1740481168.3719203,0.2499997615814209,0.0,1740481168.3719213,0.2499997615814209,0.0,1740481168.3719227,0.2499997615814209,0.0,1740481168.3719234,0.2499997615814209,0.10899563053199542,1740481168.3719244,0.2499997615814209,0.0,1740481168.3719256,0.2499997615814209,0.061237243569579464,1740481168.3719265,0.2499997615814209,0.0,1740481168.3719273,0.2499997615814209,0.04775838696241595,1740481176.0383296,7.859992504119873
1740481168.3913038,0.26999974250793457,0.004016390192037811,1740481168.3913054,0.26999974250793457,0.0,1740481168.3913076,0.26999974250793457,0.0,1740481168.3913097,0.26999974250793457,2.0995331641168695,1740481168.391311,0.26999974250793457,0.0,1740481168.3913121,0.26999974250793457,0.0,1740481168.391313,0.26999974250793457,0.0,1740481168.3913143,0.26999974250793457,0.0,1740481168.3913152,0.26999974250793457,0.10899563053199542,1740481168.3913164,0.26999974250793457,0.0,1740481168.3913176,0.26999974250793457,0.061237243569579464,1740481168.3913186,0.26999974250793457,0.0,1740481168.3913195,0.26999974250793457,0.04775838696241595,1740481176.0575826,7.879992485046387
1740481168.411221,0.28999972343444824,0.004016390192037811,1740481168.411223,0.28999972343444824,0.0,1740481168.4112253,0.28999972343444824,0.0,1740481168.4112275,0.28999972343444824,2.0995331641168695,1740481168.4112284,0.28999972343444824,0.0,1740481168.4112294,0.28999972343444824,0.0,1740481168.4112308,0.28999972343444824,0.0,1740481168.4112318,0.28999972343444824,0.0,1740481168.4112327,0.28999972343444824,0.10899563053199542,1740481168.4112334,0.28999972343444824,0.0,1740481168.4112346,0.28999972343444824,0.061237243569579464,1740481168.4112356,0.28999972343444824,0.0,1740481168.4112363,0.28999972343444824,0.04775838696241595,1740481176.0782351,7.8999924659729
1740481168.431356,0.3099997043609619,0.011180782430692204,1740481168.4313579,0.3099997043609619,0.0,1740481168.4313602,0.3099997043609619,0.00012751838650990288,1740481168.4313624,0.3099997043609619,2.149841769486342,1740481168.4313784,0.3099997043609619,0.0,1740481168.43138,0.3099997043609619,0.0,1740481168.431381,0.3099997043609619,0.0,1740481168.4313822,0.3099997043609619,0.0,1740481168.4313831,0.3099997043609619,0.10899563053199542,1740481168.431384,0.3099997043609619,1.0,1740481168.431385,0.3099997043609619,1.0247418967055022,1740481168.4313858,0.3099997043609619,0.0,1740481168.431387,0.3099997043609619,0.07284893045389727,1740481176.1017585,7.919992446899414
1740481168.4542625,0.31999969482421875,0.011180782430692204,1740481168.4542668,0.31999969482421875,0.0,1740481168.4542692,0.31999969482421875,0.0,1740481168.4542713,0.31999969482421875,2.156878643338487,1740481168.4542723,0.31999969482421875,0.0,1740481168.4542732,0.31999969482421875,0.0,1740481168.4542747,0.31999969482421875,0.0,1740481168.4542756,0.31999969482421875,0.0,1740481168.4542763,0.31999969482421875,0.13408617402347675,1740481168.4542773,0.31999969482421875,0.0,1740481168.4542782,0.31999969482421875,0.06123724356957948,1740481168.4542792,0.31999969482421875,0.0,1740481168.45428,0.31999969482421875,0.07284893045389727,1740481176.1185913,7.939992427825928
1740481168.4715338,0.34999966621398926,0.011180782430692204,1740481168.4715357,0.34999966621398926,0.0,1740481168.4715378,0.34999966621398926,0.0,1740481168.4715607,0.34999966621398926,2.156878643338487,1740481168.471562,0.34999966621398926,0.0,1740481168.4715633,0.34999966621398926,0.0,1740481168.4715645,0.34999966621398926,0.0,1740481168.4715655,0.34999966621398926,0.0,1740481168.4715664,0.34999966621398926,0.13408617402347675,1740481168.4715674,0.34999966621398926,0.0,1740481168.4715683,0.34999966621398926,0.06123724356957948,1740481168.471583,0.34999966621398926,0.0,1740481168.471584,0.34999966621398926,0.07284893045389727,1740481176.138666,7.959992408752441
1740481168.491414,0.3599996566772461,0.011180782430692204,1740481168.4914157,0.3599996566772461,0.0,1740481168.4914181,0.3599996566772461,0.0,1740481168.4914203,0.3599996566772461,2.156878643338487,1740481168.4914212,0.3599996566772461,0.0,1740481168.4914227,0.3599996566772461,0.0,1740481168.491424,0.3599996566772461,0.0,1740481168.4914248,0.3599996566772461,0.0,1740481168.491426,0.3599996566772461,0.13408617402347675,1740481168.4914272,0.3599996566772461,0.0,1740481168.4914281,0.3599996566772461,0.06123724356957948,1740481168.4914289,0.3599996566772461,0.0,1740481168.4914298,0.3599996566772461,0.07284893045389727,1740481176.1583812,7.979992389678955
1740481168.5106363,0.37999963760375977,0.011180782430692204,1740481168.510638,0.37999963760375977,0.0,1740481168.5106404,0.37999963760375977,0.0,1740481168.5106428,0.37999963760375977,2.156878643338487,1740481168.5106435,0.37999963760375977,0.0,1740481168.510645,0.37999963760375977,0.0,1740481168.510646,0.37999963760375977,0.0,1740481168.510647,0.37999963760375977,0.0,1740481168.510648,0.37999963760375977,0.13408617402347675,1740481168.5106492,0.37999963760375977,0.0,1740481168.5106502,0.37999963760375977,0.06123724356957948,1740481168.510651,0.37999963760375977,0.0,1740481168.5106518,0.37999963760375977,0.07284893045389727,1740481176.1776118,7.999992370605469
1740481168.5316155,0.4099996089935303,0.011180782430692204,1740481168.5316172,0.4099996089935303,0.0,1740481168.5316195,0.4099996089935303,0.0,1740481168.5316217,0.4099996089935303,2.156878643338487,1740481168.5316226,0.4099996089935303,0.0,1740481168.531624,0.4099996089935303,0.0,1740481168.5316255,0.4099996089935303,0.0,1740481168.5316265,0.4099996089935303,0.0,1740481168.5316272,0.4099996089935303,0.13408617402347675,1740481168.5316284,0.4099996089935303,0.0,1740481168.5316293,0.4099996089935303,0.06123724356957948,1740481168.5316303,0.4099996089935303,0.0,1740481168.5316315,0.4099996089935303,0.07284893045389727,1740481176.1982167,8.019992351531982
