x,y,z
-1.1345367431640625,-1.9468928575515747,-0.27375465631484985
-1.1445019245147705,-1.939150333404541,-0.5348218679428101
-1.1306833028793335,-1.9711077213287354,-0.8308367729187012
-1.4341466426849365,-1.7722631692886353,-0.8337128758430481
-1.7781182527542114,-1.5344080924987793,-0.8719382286071777
-1.7964693307876587,-1.4738398790359497,-0.5795344710350037
-1.785082221031189,-1.501529574394226,-0.29842621088027954
-1.443234920501709,-1.736945629119873,-0.2744453549385071
