x,y,z
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.6003689765930176,2.0809922218322754,-0.10170814394950867
1.8660814762115479,1.797608494758606,-0.0836607813835144
2.123466730117798,1.5164985656738281,-0.0532490499317646
2.1514251232147217,1.4980473518371582,-0.37391167879104614
2.1766116619110107,1.4941444396972656,-0.6505252122879028
3.954346179962158,2.543414831161499,-0.7878978252410889
1.9151015281677246,1.7619259357452393,-0.6715788841247559
1.6095061302185059,2.03902006149292,-0.702869176864624
1.5993773937225342,2.0766420364379883,-0.38923171162605286
