curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2),current yaw (rad) time,current yaw (rad) vehicle time,current yaw (rad),current speed (m/s) time,current speed (m/s) vehicle time,current speed (m/s)
1739141160.4165714,0.019999980926513672,0.0,1739141160.4165742,0.019999980926513672,0.0,1739141160.4165773,0.019999980926513672,2e-06,1739141160.4165807,0.019999980926513672,1.9947503416207786,1739141160.416582,0.019999980926513672,-0.06638719928805828,1739141160.4165843,0.019999980926513672,-0.03326867705567338,1739141160.416586,0.019999980926513672,-0.06638719928805828,1739141160.4165876,0.019999980926513672,-0.1279158618748393,1739141160.4165888,0.019999980926513672,2.434486501996753,1739141160.4165907,0.019999980926513672,0.0,1739141160.4165924,0.019999980926513672,2.434486501996753,1739141160.416594,0.019999980926513672,0.0,1739141160.4165952,0.019999980926513672,0.0
1739141160.4360576,0.039999961853027344,0.0,1739141160.4360883,0.039999961853027344,0.0,1739141160.4360955,0.039999961853027344,2e-06,1739141160.436101,0.039999961853027344,1.9947503416207786,1739141160.4361024,0.039999961853027344,-0.06638719928805828,1739141160.4361045,0.039999961853027344,-0.03326867705567338,1739141160.4361062,0.039999961853027344,-0.06638719928805828,1739141160.4361076,0.039999961853027344,-0.1279158618748393,1739141160.4361088,0.039999961853027344,2.434486501996753,1739141160.4361105,0.039999961853027344,0.0,1739141160.4361122,0.039999961853027344,2.434486501996753,1739141160.4361134,0.039999961853027344,0.0,1739141160.436115,0.039999961853027344,0.0
1739141160.455421,0.059999942779541016,0.0,1739141160.4554253,0.059999942779541016,0.0,1739141160.4554286,0.059999942779541016,2e-06,1739141160.455432,0.059999942779541016,1.9947503416207786,1739141160.4554334,0.059999942779541016,-0.06638719928805828,1739141160.455435,0.059999942779541016,-0.03326867705567338,1739141160.4554367,0.059999942779541016,-0.06638719928805828,1739141160.4554381,0.059999942779541016,-0.1279158618748393,1739141160.4554396,0.059999942779541016,2.434486501996753,1739141160.4554417,0.059999942779541016,0.0,1739141160.4554434,0.059999942779541016,2.434486501996753,1739141160.4554482,0.059999942779541016,0.0,1739141160.4554498,0.059999942779541016,0.0
1739141160.476013,0.07999992370605469,0.0007995988206337401,1739141160.4760158,0.07999992370605469,-2.1646030745614553e-08,1739141160.4760184,0.07999992370605469,1.20040117936626e-06,1739141160.4760213,0.07999992370605469,2.1146202376049437,1739141160.4760225,0.07999992370605469,-0.06783879804343307,1739141160.4760242,0.07999992370605469,-0.03208195584793593,1739141160.4760256,0.07999992370605469,-0.06767525364819808,1739141160.4760268,0.07999992370605469,-0.11614238021681811,1739141160.4760282,0.07999992370605469,2.433232524681243,1739141160.4760296,0.07999992370605469,0.0,1739141160.476031,0.07999992370605469,2.3558055646670883,1739141160.4760325,0.07999992370605469,6.2831079484182135,1739141160.4760337,0.07999992370605469,0.039959828283559644
1739141160.4957104,0.09999990463256836,0.0007995988206337401,1739141160.4957151,0.09999990463256836,-2.1646030745614553e-08,1739141160.4957192,0.09999990463256836,1.20040117936626e-06,1739141160.495723,0.09999990463256836,2.1146202376049437,1739141160.495725,0.09999990463256836,-0.06783879804343307,1739141160.4957273,0.09999990463256836,-0.03208195584793593,1739141160.4957294,0.09999990463256836,-0.06767525364819808,1739141160.495731,0.09999990463256836,-0.11614238021681811,1739141160.4957333,0.09999990463256836,2.433232524681243,1739141160.4957354,0.09999990463256836,0.0,1739141160.4957373,0.09999990463256836,2.3932726963976836,1739141160.4957392,0.09999990463256836,6.2831079484182135,1739141160.4957411,0.09999990463256836,0.039959828283559644
1739141160.5178921,0.11999988555908203,0.0007995988206337401,1739141160.5178962,0.11999988555908203,-2.1646030745614553e-08,1739141160.517901,0.11999988555908203,1.20040117936626e-06,1739141160.5179064,0.11999988555908203,2.1146202376049437,1739141160.5179095,0.11999988555908203,-0.06783879804343307,1739141160.5179133,0.11999988555908203,-0.03208195584793593,1739141160.517917,0.11999988555908203,-0.06767525364819808,1739141160.5179205,0.11999988555908203,-0.11614238021681811,1739141160.517924,0.11999988555908203,2.433232524681243,1739141160.517928,0.11999988555908203,0.0,1739141160.5179315,0.11999988555908203,2.3932726963976836,1739141160.5179348,0.11999988555908203,6.2831079484182135,1739141160.5179384,0.11999988555908203,0.039959828283559644
1739141160.557633,0.15999984741210938,0.0007995988206337401,1739141160.557636,0.15999984741210938,-2.1646030745614553e-08,1739141160.5576391,0.15999984741210938,1.20040117936626e-06,1739141160.5576422,0.15999984741210938,2.1146202376049437,1739141160.5576434,0.15999984741210938,-0.06783879804343307,1739141160.5576453,0.15999984741210938,-0.03208195584793593,1739141160.557647,0.15999984741210938,-0.06767525364819808,1739141160.5576484,0.15999984741210938,-0.11614238021681811,1739141160.5576496,0.15999984741210938,2.433232524681243,1739141160.5576515,0.15999984741210938,0.0,1739141160.557653,0.15999984741210938,2.3932726963976836,1739141160.5576544,0.15999984741210938,6.2831079484182135,1739141160.5576556,0.15999984741210938,0.039959828283559644
1739141160.5639524,0.15999984741210938,0.0007995988206337401,1739141160.5639572,0.15999984741210938,-2.1646030745614553e-08,1739141160.563961,0.15999984741210938,1.20040117936626e-06,1739141160.5639644,0.15999984741210938,2.1146202376049437,1739141160.563966,0.15999984741210938,-0.06783879804343307,1739141160.563968,0.15999984741210938,-0.03208195584793593,1739141160.5639699,0.15999984741210938,-0.06767525364819808,1739141160.5639713,0.15999984741210938,-0.11614238021681811,1739141160.5639734,0.15999984741210938,2.433232524681243,1739141160.563975,0.15999984741210938,0.0,1739141160.563977,0.15999984741210938,2.3932726963976836,1739141160.5639784,0.15999984741210938,6.2831079484182135,1739141160.5639803,0.15999984741210938,0.039959828283559644
1739141160.5833745,0.18999981880187988,0.010485176694682075,1739141160.5833776,0.18999981880187988,-4.560607775871972e-06,1739141160.5833807,0.18999981880187988,0.0,1739141160.5833838,0.18999981880187988,2.4376948229735214,1739141160.5833852,0.18999981880187988,-0.07264017037900598,1739141160.5833874,0.18999981880187988,-0.029916632396135744,1739141160.583389,0.18999981880187988,-0.07038813757004006,1739141160.5833905,0.18999981880187988,-0.09164783904391784,1739141160.5833917,0.18999981880187988,2.4305935258419877,1739141160.5833933,0.18999981880187988,0.0,1739141160.5833948,0.18999981880187988,2.182611077356889,1739141160.5833964,0.18999981880187988,6.282259370934885,1739141160.5833979,0.18999981880187988,0.14766734168722773
1739141160.6129937,0.20999979972839355,0.010485176694682075,1739141160.6129975,0.20999979972839355,-4.560607775871972e-06,1739141160.6130018,0.20999979972839355,0.0,1739141160.6130054,0.20999979972839355,2.4376948229735214,1739141160.6130068,0.20999979972839355,-0.07264017037900598,1739141160.613009,0.20999979972839355,-0.029916632396135744,1739141160.6130104,0.20999979972839355,-0.07038813757004006,1739141160.613012,0.20999979972839355,-0.09164783904391784,1739141160.6130137,0.20999979972839355,2.4305935258419877,1739141160.6130154,0.20999979972839355,0.0,1739141160.6130168,0.20999979972839355,2.28292618415476,1739141160.6130183,0.20999979972839355,6.282259370934885,1739141160.61302,0.20999979972839355,0.14766734168722773
1739141160.7542384,0.2799997329711914,0.010485176694682075,1739141160.7542415,0.2799997329711914,-4.560607775871972e-06,1739141160.7542446,0.2799997329711914,0.0,1739141160.7542477,0.2799997329711914,2.4376948229735214,1739141160.7542489,0.2799997329711914,-0.07264017037900598,1739141160.7542505,0.2799997329711914,-0.029916632396135744,1739141160.7542522,0.2799997329711914,-0.07038813757004006,1739141160.7542539,0.2799997329711914,-0.09164783904391784,1739141160.754255,0.2799997329711914,2.4305935258419877,1739141160.7542567,0.2799997329711914,0.0,1739141160.7542582,0.2799997329711914,2.28292618415476,1739141160.7542598,0.2799997329711914,6.282259370934885,1739141160.754261,0.2799997329711914,0.14766734168722773
1739141160.7755249,0.2999997138977051,0.032214164598860506,1739141160.7755291,0.2999997138977051,-4.227881880503048e-05,1739141160.7755346,0.2999997138977051,0.0215686294849362,1739141160.7755406,0.2999997138977051,2.7881909390808164,1739141160.7755437,0.2999997138977051,-0.07563853339864564,1739141160.775548,0.2999997138977051,-0.02742305532633603,1739141160.7755518,0.2999997138977051,-0.06815563934689475,1739141160.7755556,0.2999997138977051,-0.06885080297515199,1739141160.7755592,0.2999997138977051,2.432765013557229,1739141160.7755628,0.2999997138977051,0.0,1739141160.7755666,0.2999997138977051,2.0777401956304375,1739141160.7755702,0.2999997138977051,6.280485593288614,1739141160.775574,0.2999997138977051,0.2573171555345345
1739141160.7955763,0.31999969482421875,0.032214164598860506,1739141160.7955816,0.31999969482421875,-4.227881880503048e-05,1739141160.7955878,0.31999969482421875,0.0215686294849362,1739141160.795594,0.31999969482421875,2.7881909390808164,1739141160.795598,0.31999969482421875,-0.07563853339864564,1739141160.7956028,0.31999969482421875,-0.02742305532633603,1739141160.7956069,0.31999969482421875,-0.06815563934689475,1739141160.795611,0.31999969482421875,-0.06885080297515199,1739141160.7956145,0.31999969482421875,2.432765013557229,1739141160.7956185,0.31999969482421875,0.0,1739141160.7956223,0.31999969482421875,2.1754478580226944,1739141160.795626,0.31999969482421875,6.280485593288614,1739141160.79563,0.31999969482421875,0.2573171555345345
