x,y,v,t
-0.14073040568258158,0.016078804758842904,0.0,0.0
0.6479711527706709,0.07417811561524053,1.8094396287018975,0.8741254244936704
1.43743219924142,0.20246582820419168,2.562378117253863,1.240021981085732
2.227635248390674,0.38462316146585535,3.14331725105118,1.5242736532918624
3.018562814879439,0.6043313343403905,3.6381366559349906,1.7663681749402835
3.810197413368725,0.8452715657679557,4.079125052046892,1.9808195494445824
4.6025215585195385,1.0911250746887107,4.480203959997014,2.1746644553949515
5.395517764992888,1.325573080042814,4.845529283610032,2.3520075840367736
6.189168547449782,1.53368949048241,5.0,2.5186789701621413
6.983456420551228,1.7064328898387486,5.0,2.681250001699399
7.778363898958233,1.8363158821773273,5.0,2.842339727122991
8.573873497331803,1.9158510805396864,5.0,3.002234863869925
9.369967730332952,1.9375510979673678,5.0,3.1615128496148546
10.166629112622683,1.8939285876697245,5.0,3.321083809558881
10.963840158862006,1.781887101771623,5.0,3.4820929703924497
11.761583383711924,1.614804141924067,5.0,3.6451035183045857
12.559841301833453,1.4099199887912148,5.0,3.809929877852891
13.358596427887592,1.1844749230372202,5.0,3.975922073943019
14.157831276535358,0.9557092253262404,5.0,4.142188136354108
14.95752836243775,0.7408631763224313,5.0,4.307799036233715
15.757670200255788,0.5541416519338164,5.0,4.472126987391981
16.55823930465047,0.3955004084027339,5.0,4.635354183050105
17.3592181902828,0.260717682147986,5.0,4.7978021511538
18.160589371813792,0.14557116902450717,5.0,4.959722438958988
18.962335363904458,0.04583856488723247,5.0,5.121307491257949
19.764438681215797,-0.04270243440890187,5.0,5.282702564317595
20.566881838408833,-0.12462294836950709,5.0,5.444025345242484
21.369647350144547,-0.20619033358814087,5.0,5.605405109173866
22.172717731083978,-0.2941868069989442,5.0,5.766980530086199
22.976075495888107,-0.39539470245085007,5.0,5.9289220919377374
23.77970315921796,-0.5130335772059671,5.0,6.091360551192023
24.58358323573453,-0.63526965356805,5.0,6.253984637450447
25.387698240098835,-0.7462941006174125,5.0,6.416333319993475
26.192030686971883,-0.8324627321386073,5.0,6.578120305644487
26.99656309101468,-0.8901626909074464,5.0,6.739440071872536
27.801277966888232,-0.91868483402849,5.0,6.900484108595465
28.606157829253554,-0.9173203143752583,5.0,7.0614603123965365
29.411185192771633,-0.8853602848212717,5.0,7.222592618220286
30.2163425721035,-0.8220958982400504,5.0,7.384120422402979
31.02161248191016,-0.7276997222217789,5.0,7.546277169495031
31.826977436852616,-0.606096615259966,5.0,7.709175914274999
32.63241995159187,-0.462209761733138,5.0,7.872814671440573
33.437922540788946,-0.3009623544196921,5.0,8.037111372267887
34.24346771910482,-0.1272775860980264,5.0,8.201922710840803
35.049038001200536,0.053921350453465106,5.0,8.367062231731856
35.85461590173709,0.23771126245638458,5.0,8.532317729139589
36.66018393537547,0.41916895713233376,5.0,8.697468175917926
37.465724616776725,0.5933712417029193,5.0,8.862300481652209
38.27122046060184,0.7553949233897428,5.0,9.026626405090585
39.0766539815118,0.9003168094144062,5.0,9.190299922759676
39.88200769416764,1.0232137069985154,5.0,9.353235278029716
40.68726613744576,1.1209800174480213,5.0,9.5154696038587
41.492425756041015,1.2012006768549248,5.0,9.6772988182314
42.29748733317606,1.2753562948843382,5.0,9.838992751162042
43.10245165836085,1.354933126764304,5.0,10.000770380887818
43.90731952110539,1.449052889738926,5.0,10.162840835476107
44.71209171091964,1.5535590196962008,5.0,10.325146695961434
45.51676901731359,1.6596632455512867,5.0,10.487475211530294
46.321352229797235,1.7588439750872227,5.0,10.649609842367974
47.12584213788056,1.844154163007137,5.0,10.811409946245673
47.93023953107354,1.9092130640299665,5.0,10.972814757422782
48.734545198886146,1.9476406776627944,5.0,11.133859383382793
49.538759930828355,1.9530570034127068,5.0,11.294705977584536
50.34288451641017,1.9190820407867881,5.0,11.455674377865158
51.14691974514157,1.8414131126662439,5.0,11.617229954857912
51.95086640653255,1.7272232411162578,5.0,11.779633102749361
52.75472529009305,1.587626387662756,5.0,11.942811089766392
53.55849718533309,1.4337400778391445,5.0,12.106485187402994
54.362182881762635,1.2766818371788298,5.0,12.270262840286989
55.16578316889168,1.1275691912152186,5.0,12.43372635336072
55.96929883623021,0.9954450080991849,5.0,12.596587549159175
56.77273067328819,0.8762385485082741,5.0,12.759032973447649
57.57607946957562,0.7607699769904007,5.0,12.921353924591344
58.37934601460243,0.6398479078379454,5.0,13.083817371454622
