curr pt[0] time,curr pt[0] vehicle time,curr pt[0],curr pt[1] time,curr pt[1] vehicle time,curr pt[1],curr param time,curr param vehicle time,curr param,desired pt[0] time,desired pt[0] vehicle time,desired pt[0],desired pt[1] time,desired pt[1] vehicle time,desired pt[1],desired yaw (rad) time,desired yaw (rad) vehicle time,desired yaw (rad),crosstrack error time,crosstrack error vehicle time,crosstrack error,front wheel angle (rad) time,front wheel angle (rad) vehicle time,front wheel angle (rad),desired speed (m/s) time,desired speed (m/s) vehicle time,desired speed (m/s),feedforward accel (m/s^2) time,feedforward accel (m/s^2) vehicle time,feedforward accel (m/s^2),output accel (m/s^2) time,output accel (m/s^2) vehicle time,output accel (m/s^2),current yaw (rad) time,current yaw (rad) vehicle time,current yaw (rad),current speed (m/s) time,current speed (m/s) vehicle time,current speed (m/s)
1739137658.1560988,0.019999980926513672,0.0,1739137658.1561017,0.019999980926513672,0.0,1739137658.1561046,0.019999980926513672,2e-06,1739137658.1561072,0.019999980926513672,1.9947503416207786,1739137658.156109,0.019999980926513672,-0.06638719928805828,1739137658.156111,0.019999980926513672,-0.03326867705567338,1739137658.1561127,0.019999980926513672,-0.06638719928805828,1739137658.156114,0.019999980926513672,-0.255368292345595,1739137658.1561158,0.019999980926513672,2.434486501996753,1739137658.1561172,0.019999980926513672,0.0,1739137658.156119,0.019999980926513672,2.434486501996753,1739137658.1561205,0.019999980926513672,0.0,1739137658.156122,0.019999980926513672,0.0
1739137658.174843,0.039999961853027344,0.0,1739137658.1748457,0.039999961853027344,0.0,1739137658.1748486,0.039999961853027344,2e-06,1739137658.1748512,0.039999961853027344,1.9947503416207786,1739137658.1748526,0.039999961853027344,-0.06638719928805828,1739137658.1748545,0.039999961853027344,-0.03326867705567338,1739137658.1748562,0.039999961853027344,-0.06638719928805828,1739137658.1748574,0.039999961853027344,-0.255368292345595,1739137658.1748588,0.039999961853027344,2.434486501996753,1739137658.1748602,0.039999961853027344,0.0,1739137658.1748617,0.039999961853027344,2.434486501996753,1739137658.1748636,0.039999961853027344,0.0,1739137658.174865,0.039999961853027344,0.0
1739137658.1948607,0.059999942779541016,0.00047983963607833857,1739137658.1948633,0.059999942779541016,-7.382692679414049e-09,1739137658.1948662,0.059999942779541016,1.5201603639216616e-06,1739137658.194869,0.059999942779541016,2.0906705661711618,1739137658.1948702,0.059999942779541016,-0.06755024778519472,1739137658.1948721,0.059999942779541016,-0.03230649574871559,1739137658.1948736,0.059999942779541016,-0.06744497884003313,1739137658.1948748,0.059999942779541016,-0.23638263434831996,1739137658.1948762,0.059999942779541016,2.4334566598647585,1739137658.1948779,0.059999942779541016,0.0,1739137658.1948793,0.059999942779541016,2.3714754758328263,1739137658.1948805,0.059999942779541016,6.2831349474322575,1739137658.1948817,0.059999942779541016,0.03197591848874033
1739137658.21471,0.07999992370605469,0.00047983963607833857,1739137658.2147124,0.07999992370605469,-7.382692679414049e-09,1739137658.2147155,0.07999992370605469,1.5201603639216616e-06,1739137658.214718,0.07999992370605469,2.0906705661711618,1739137658.2147195,0.07999992370605469,-0.06755024778519472,1739137658.214721,0.07999992370605469,-0.03230649574871559,1739137658.2147226,0.07999992370605469,-0.06744497884003313,1739137658.2147238,0.07999992370605469,-0.23638263434831996,1739137658.214725,0.07999992370605469,2.4334566598647585,1739137658.2147267,0.07999992370605469,0.0,1739137658.2147279,0.07999992370605469,2.401480741376018,1739137658.2147293,0.07999992370605469,6.2831349474322575,1739137658.2147305,0.07999992370605469,0.03197591848874033
1739137658.235332,0.09999990463256836,0.00047983963607833857,1739137658.2353344,0.09999990463256836,-7.382692679414049e-09,1739137658.2353375,0.09999990463256836,1.5201603639216616e-06,1739137658.2353404,0.09999990463256836,2.0906705661711618,1739137658.2353415,0.09999990463256836,-0.06755024778519472,1739137658.2353435,0.09999990463256836,-0.03230649574871559,1739137658.235345,0.09999990463256836,-0.06744497884003313,1739137658.235346,0.09999990463256836,-0.23638263434831996,1739137658.2353477,0.09999990463256836,2.4334566598647585,1739137658.2353492,0.09999990463256836,0.0,1739137658.2353506,0.09999990463256836,2.401480741376018,1739137658.235352,0.09999990463256836,6.2831349474322575,1739137658.2353532,0.09999990463256836,0.03197591848874033
1739137658.2827468,0.14999985694885254,0.00047983963607833857,1739137658.2827501,0.14999985694885254,-7.382692679414049e-09,1739137658.2827535,0.14999985694885254,1.5201603639216616e-06,1739137658.2827563,0.14999985694885254,2.0906705661711618,1739137658.2827575,0.14999985694885254,-0.06755024778519472,1739137658.2827594,0.14999985694885254,-0.03230649574871559,1739137658.282761,0.14999985694885254,-0.06744497884003313,1739137658.2827625,0.14999985694885254,-0.23638263434831996,1739137658.282764,0.14999985694885254,2.4334566598647585,1739137658.2827656,0.14999985694885254,0.0,1739137658.2827668,0.14999985694885254,2.401480741376018,1739137658.2827687,0.14999985694885254,6.2831349474322575,1739137658.28277,0.14999985694885254,0.03197591848874033
1739137658.3025825,0.1699998378753662,0.009488760325109702,1739137658.3025856,0.1699998378753662,-3.871437738389716e-06,1739137658.3025887,0.1699998378753662,0.0,1739137658.3025918,0.1699998378753662,2.419775955995444,1739137658.3025932,0.1699998378753662,-0.07243420639075222,1739137658.3025954,0.1699998378753662,-0.030041459197039617,1739137658.3025973,0.1699998378753662,-0.07031972567796632,1739137658.302602,0.1699998378753662,-0.18551742367070756,1739137658.3026085,0.1699998378753662,2.4306600393528326,1739137658.302611,0.1699998378753662,0.0,1739137658.302615,0.1699998378753662,2.1866798653339288,1739137658.3026175,0.1699998378753662,6.282309651457002,1739137658.30262,0.1699998378753662,0.1416939914738729
1739137658.3847132,0.18999981880187988,0.009488760325109702,1739137658.3847165,0.18999981880187988,-3.871437738389716e-06,1739137658.3847198,0.18999981880187988,0.0,1739137658.384723,0.18999981880187988,2.419775955995444,1739137658.3847241,0.18999981880187988,-0.07243420639075222,1739137658.384726,0.18999981880187988,-0.030041459197039617,1739137658.3847275,0.18999981880187988,-0.07031972567796632,1739137658.384729,0.18999981880187988,-0.18551742367070756,1739137658.3847303,0.18999981880187988,2.4306600393528326,1739137658.3847315,0.18999981880187988,0.0,1739137658.384733,0.18999981880187988,2.2889660478789597,1739137658.3847344,0.18999981880187988,6.282309651457002,1739137658.384736,0.18999981880187988,0.1416939914738729
1739137658.411551,0.20999979972839355,0.009488760325109702,1739137658.4115555,0.20999979972839355,-3.871437738389716e-06,1739137658.4115613,0.20999979972839355,0.0,1739137658.4115672,0.20999979972839355,2.419775955995444,1739137658.4115705,0.20999979972839355,-0.07243420639075222,1739137658.4115746,0.20999979972839355,-0.030041459197039617,1739137658.4115784,0.20999979972839355,-0.07031972567796632,1739137658.4115822,0.20999979972839355,-0.18551742367070756,1739137658.4115858,0.20999979972839355,2.4306600393528326,1739137658.4115896,0.20999979972839355,0.0,1739137658.4115932,0.20999979972839355,2.2889660478789597,1739137658.411597,0.20999979972839355,6.282309651457002,1739137658.4116008,0.20999979972839355,0.1416939914738729
1739137658.470626,0.26999974250793457,0.009488760325109702,1739137658.4706285,0.26999974250793457,-3.871437738389716e-06,1739137658.4706316,0.26999974250793457,0.0,1739137658.4706345,0.26999974250793457,2.419775955995444,1739137658.470636,0.26999974250793457,-0.07243420639075222,1739137658.4706373,0.26999974250793457,-0.030041459197039617,1739137658.4706388,0.26999974250793457,-0.07031972567796632,1739137658.4706404,0.26999974250793457,-0.18551742367070756,1739137658.4706416,0.26999974250793457,2.4306600393528326,1739137658.4706433,0.26999974250793457,0.0,1739137658.4706445,0.26999974250793457,2.2889660478789597,1739137658.470646,0.26999974250793457,6.282309651457002,1739137658.4706473,0.26999974250793457,0.1416939914738729
